rating,searchterm,address,types,name,id,rating_n,populartimes,coordinates
3.9,"Yan Palace Restaurant (Warren Golf & Country Club) 81 Choa Chu Kang Way, Singapore 688263","81 Choa Chu Kang Way, Singapore 688263","['restaurant', 'food', 'point_of_interest', 'establishment']",Yan Palace Restaurant (Warren Golf & Country Club),ChIJN2abq-gR2jERsyJKYTznHlI,17,"[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 17, 9, 0, 0, 0, 4, 6, 4, 2, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 21, 25, 15, 0, 0, 0, 11, 20, 19, 9, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 36, 37, 22, 0, 0, 0, 16, 27, 21, 7, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 24, 28, 18, 0, 0, 0, 22, 25, 17, 7, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 45, 38, 18, 0, 0, 0, 9, 20, 22, 10, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 62, 59, 23, 0, 0, 0, 39, 74, 74, 40, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 69, 100, 86, 45, 0, 0, 0, 32, 51, 38, 13, 0, 0], 'name': 'Sunday'}]","{'lat': 1.3843227, 'lng': 103.7368899}"
3.8,"The Hwang's 1 Create Way, #01-09 Create Tower, University Town @ NUS, Singapore 138602","1 Create Way, #01-09 Create Tower, University Town @ NUS, Singapore 138602","['restaurant', 'food', 'point_of_interest', 'establishment']",The Hwang's,ChIJXfaPOPga2jERIsWFRgloUUM,23,"[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 47, 60, 25, 3, 0, 7, 36, 54, 25, 0, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 70, 74, 38, 23, 14, 12, 27, 43, 32, 0, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34, 76, 69, 23, 3, 0, 9, 21, 27, 18, 0, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 70, 100, 25, 1, 0, 7, 25, 40, 29, 0, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 83, 63, 16, 1, 5, 16, 27, 25, 14, 0, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 38, 41, 23, 7, 5, 14, 29, 30, 20, 0, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'name': 'Sunday'}]","{'lat': 1.3040472, 'lng': 103.7743825}"
4.1,"New Ubin Seafood 63 Hillview Avenue, Level 6 (Canteen), Singapore 669569","63 Hillview Avenue, Level 6 (Canteen), Singapore 669569","['restaurant', 'food', 'point_of_interest', 'establishment']",New Ubin Seafood,ChIJ2a0-1k8Q2jERq8cU9dcRDnA,392,"[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 29, 61, 76, 55, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 20, 16, 0, 0, 11, 31, 55, 60, 40, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 17, 18, 16, 0, 0, 15, 38, 71, 82, 56, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 13, 12, 0, 0, 16, 35, 64, 78, 62, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 20, 20, 19, 0, 0, 24, 46, 73, 87, 74, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 28, 29, 18, 0, 0, 33, 68, 97, 94, 62, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 38, 55, 40, 0, 0, 39, 76, 100, 88, 51, 0, 0], 'name': 'Sunday'}]","{'lat': 1.3570319, 'lng': 103.7633324}"
4.1,"Xiang Lai Bak Kut Teh 5 Soon Lee St, Pioneer Point, Singapore 627607","5 Soon Lee St, Pioneer Point, Singapore 627607","['restaurant', 'food', 'point_of_interest', 'establishment']",Xiang Lai Bak Kut Teh,ChIJs1l_644P2jERLsGyFM3h-PA,9,"[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 25, 25, 25, 25, 25, 31, 43, 56, 56, 37, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 37, 50, 43, 25, 12, 6, 18, 43, 31, 18, 43, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 43, 50, 43, 31, 31, 43, 56, 62, 75, 93, 100, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 37, 37, 37, 31, 25, 12, 18, 56, 62, 37, 37, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 43, 50, 56, 50, 37, 31, 31, 50, 75, 75, 62, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 62, 56, 56, 50, 37, 25, 18, 18, 31, 43, 50, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 62, 56, 37, 25, 25, 43, 56, 68, 62, 50, 37, 0, 0], 'name': 'Sunday'}]","{'lat': 1.3335121, 'lng': 103.698598}"
3.9,"Kim's Korean Restaurant 17 Lorong Kilat, #01-06 Kilat Court, Singapore 598139","17 Lorong Kilat, #01-06 Kilat Court, Singapore 598139","['restaurant', 'food', 'point_of_interest', 'establishment']",Kim's Korean Restaurant,ChIJcYA953UZ2jERdl6owL8Apow,69,"[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17, 4, 0, 0, 4, 14, 25, 25, 14, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 8, 0, 0, 2, 20, 68, 71, 23, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 34, 18, 0, 0, 10, 30, 52, 55, 35, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 5, 0, 0, 11, 35, 66, 73, 46, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 17, 8, 0, 0, 16, 54, 98, 95, 49, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 27, 23, 0, 0, 15, 44, 79, 88, 60, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 33, 23, 0, 0, 22, 69, 100, 66, 20, 0, 0], 'name': 'Sunday'}]","{'lat': 1.3408681, 'lng': 103.774133}"
4.2,Joyden Seafood Singapore,Singapore,"['restaurant', 'food', 'point_of_interest', 'establishment']",Joyden Seafood,ChIJeXSOYI0a2jERDdI-Q938U8c,36,"[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18, 21, 11, 2, 0, 1, 6, 11, 11, 6, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 21, 23, 13, 4, 0, 2, 11, 20, 18, 6, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 25, 24, 8, 0, 0, 1, 18, 34, 10, 0, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 36, 24, 6, 0, 0, 2, 10, 18, 17, 7, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 30, 32, 13, 0, 0, 6, 20, 38, 47, 37, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23, 28, 17, 5, 0, 2, 23, 83, 100, 39, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 37, 46, 32, 11, 0, 11, 37, 67, 61, 28, 0, 0], 'name': 'Sunday'}]","{'lat': 1.3095656, 'lng': 103.7638306}"
3.8,"McDonald’s Jurong Spring CC 8 Jurong West Street 52, Singapore 649296","8 Jurong West Street 52, Singapore 649296","['restaurant', 'food', 'point_of_interest', 'establishment']",McDonald’s Jurong Spring CC,ChIJWx082NwP2jERcl0GQx1_9fw,26,"[{'data': [33, 33, 33, 22, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 22, 22, 33, 33, 33, 33, 33, 33, 22, 33], 'name': 'Monday'}, {'data': [66, 100, 77, 33, 22, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 22, 22, 33, 44, 55, 55, 55], 'name': 'Tuesday'}, {'data': [55, 55, 44, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 33, 44, 55, 44, 22, 11, 22, 0, 33, 44, 55, 55, 44], 'name': 'Thursday'}, {'data': [33, 22, 11, 11, 22, 11, 0, 0, 0, 0, 11, 22, 33, 55, 55, 44, 33, 33, 33, 44, 44, 55, 55, 55], 'name': 'Friday'}, {'data': [55, 44, 33, 33, 0, 22, 0, 11, 11, 11, 22, 22, 33, 33, 44, 44, 55, 55, 66, 66, 66, 66, 55, 55], 'name': 'Saturday'}, {'data': [44, 44, 33, 22, 11, 0, 0, 0, 11, 11, 22, 44, 55, 66, 66, 55, 44, 55, 66, 55, 22, 11, 0, 22], 'name': 'Sunday'}]","{'lat': 1.3484942, 'lng': 103.7184282}"
4.8,"Prata Frenzy 354 Clementi Ave 2, Singapore 120354","354 Clementi Ave 2, Singapore 120354","['restaurant', 'food', 'point_of_interest', 'establishment']",Prata Frenzy,ChIJnflSRoka2jEReFvgo16sR-k,4,"[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 9, 27, 45, 36, 27, 27, 54, 81, 100, 100, 100, 90, 63, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 36, 45, 36, 36, 54, 72, 90, 72, 54, 36, 36, 36, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 45, 45, 27, 18, 36, 54, 72, 72, 63, 36, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 18, 36, 45, 36, 36, 36, 45, 54, 54, 45, 63, 90, 72, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 27, 54, 72, 72, 54, 36, 36, 45, 63, 36, 18, 45, 36, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 9, 27, 45, 45, 36, 36, 54, 72, 72, 72, 81, 81, 36, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 27, 36, 45, 45, 45, 54, 63, 81, 81, 72, 45, 18, 9, 0], 'name': 'Sunday'}]","{'lat': 1.3139245, 'lng': 103.7703384}"
4.3,"The Jolly Roger 15 Chu Lin Rd, Singapore 669907","15 Chu Lin Rd, Singapore 669907","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",The Jolly Roger,ChIJExFR404Q2jERCeLX6wVB_d8,28,"[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 27, 35, 41, 45, 51, 51, 40], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 25, 34, 41, 48, 55, 55, 40], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 19, 32, 45, 58, 61, 58, 48], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 37, 46, 54, 61, 66, 61, 44], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 30, 58, 81, 91, 96, 100, 86], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 18, 27, 35, 43, 51, 62, 79, 92, 91, 74], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 20, 28, 33, 35, 39, 50, 66, 71, 55, 30], 'name': 'Sunday'}]","{'lat': 1.3575746, 'lng': 103.7603788}"
4.3,"XING XIAN TEOCHEW CUISINE 326 Jurong east st 31 #01-110, Singapore 600326","326 Jurong east st 31 #01-110, Singapore 600326","['restaurant', 'food', 'point_of_interest', 'establishment']",XING XIAN TEOCHEW CUISINE,ChIJU6hymiAQ2jERgqnxa4g_unk,19,"[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29, 56, 29, 4, 0, 2, 15, 45, 63, 43, 13, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 50, 47, 18, 4, 6, 18, 34, 45, 40, 25, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 36, 38, 29, 15, 6, 9, 25, 43, 52, 38, 18, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 38, 47, 31, 11, 4, 9, 27, 50, 54, 38, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22, 34, 25, 9, 4, 13, 34, 59, 63, 43, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25, 50, 47, 20, 4, 6, 25, 59, 84, 68, 31, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22, 36, 29, 13, 6, 22, 65, 100, 77, 31, 0, 0], 'name': 'Sunday'}]","{'lat': 1.3492373, 'lng': 103.7295601}"
4.9,"Shi Jian Hot Pot 食间火锅 01-1237, Block 350, Jurong East Ave 1, Singapore 600350","01-1237, Block 350, Jurong East Ave 1, Singapore 600350","['restaurant', 'food', 'point_of_interest', 'establishment']",Shi Jian Hot Pot 食间火锅,ChIJbQ9Lrh8Q2jERLz9vzsL_IJ8,12,"[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 7, 5, 7, 11, 13, 17, 25, 23, 11, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 17, 37, 50, 45, 27, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 21, 25, 23, 17, 13, 17, 31, 43, 41, 25, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 17, 13, 9, 11, 23, 39, 39, 21, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 7, 3, 5, 19, 45, 66, 66, 47, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31, 49, 35, 9, 1, 11, 49, 100, 96, 45, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 50, 35, 5, 9, 35, 72, 82, 54, 21, 0, 0], 'name': 'Sunday'}]","{'lat': 1.344093, 'lng': 103.731233}"
3.3,"Seoul Garden HotPot 2 Jurong East Street 21, 01-112, Singapore 609601","2 Jurong East Street 21, 01-112, Singapore 609601","['restaurant', 'food', 'point_of_interest', 'establishment']",Seoul Garden HotPot,ChIJqzjMdA4Q2jERhp5llpougBk,9,"[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36, 45, 36, 18, 9, 9, 36, 54, 54, 27, 9, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 63, 72, 72, 54, 45, 54, 63, 72, 54, 27, 9, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 27, 45, 45, 54, 45, 36, 27, 27, 27, 18, 9, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 45, 36, 36, 45, 63, 63, 63, 72, 90, 72, 45, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 36, 45, 54, 63, 63, 72, 90, 90, 54, 90, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 45, 45, 45, 54, 72, 90, 100, 100, 90, 72, 36, 0], 'name': 'Sunday'}]","{'lat': 1.3352234, 'lng': 103.7460633}"
4.2,"Royal Steam Seafood Restaurant Pte Ltd 2 Jurong Gateway Road, #01-02, Singapore 608512","2 Jurong Gateway Road, #01-02, Singapore 608512","['restaurant', 'food', 'point_of_interest', 'establishment']",Royal Steam Seafood Restaurant Pte Ltd,ChIJFQDn4hEQ2jERJgKS_JqLvKU,15,"[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 9, 3, 0, 0, 7, 15, 23, 23, 19, 13, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 0, 0, 0, 1, 10, 28, 39, 30, 12, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 8, 3, 0, 0, 9, 23, 36, 35, 23, 9, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 7, 5, 0, 0, 6, 19, 38, 48, 38, 20, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 9, 6, 0, 0, 11, 30, 53, 59, 41, 21, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 46, 65, 61, 38, 16, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 47, 100, 96, 41, 7, 0], 'name': 'Sunday'}]","{'lat': 1.3365951, 'lng': 103.7454692}"
3.9,"Springleaf Prata 396 Upper Bukit Timah Road, Singapore 678048","396 Upper Bukit Timah Road, Singapore 678048","['restaurant', 'food', 'point_of_interest', 'establishment']",Springleaf Prata,ChIJhxMBFFEQ2jERTFZ30j_3k2A,168,"[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 20, 20, 22, 24, 22, 16, 10, 9, 18, 35, 50, 53, 42, 24], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 13, 24, 27, 28, 29, 26, 18, 11, 6, 4, 7, 17, 31, 40, 37, 26], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 33, 46, 50, 43, 31, 17, 9, 7, 15, 32, 49, 54, 44, 26], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 8, 26, 22, 25, 39, 44, 33, 16, 7, 7, 17, 34, 49, 50, 37, 20], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 11, 22, 37, 49, 52, 45, 31, 18, 9, 9, 17, 33, 51, 59, 51, 33], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 39, 75, 52, 45, 60, 67, 57, 37, 18, 9, 12, 28, 53, 67, 58, 34], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 33, 75, 100, 91, 84, 84, 60, 24, 10, 15, 29, 43, 50, 45, 32, 16], 'name': 'Sunday'}]","{'lat': 1.3580838, 'lng': 103.7679036}"
3.5,"Imperial Treasure 50 Jurong Gateway Rd, B1-11, Singapore 608549","50 Jurong Gateway Rd, B1-11, Singapore 608549","['restaurant', 'food', 'point_of_interest', 'establishment']",Imperial Treasure,ChIJkT3JHw8Q2jERpkOSIEF7cq8,8,"[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 54, 59, 40, 18, 4, 0, 0, 9, 0, 0, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 63, 68, 13, 0, 0, 0, 9, 22, 18, 18, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 40, 50, 45, 31, 13, 0, 13, 18, 13, 9, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 59, 72, 63, 36, 13, 0, 4, 18, 27, 9, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 63, 77, 63, 36, 13, 0, 4, 40, 50, 9, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 54, 40, 22, 9, 0, 4, 13, 31, 36, 22, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 68, 100, 100, 72, 40, 18, 9, 31, 63, 54, 22, 0, 0], 'name': 'Sunday'}]","{'lat': 1.3335085, 'lng': 103.7438375}"
4.0,"Hai Tian Seafood 638A Jurong West Street 61, Singapore 641638","638A Jurong West Street 61, Singapore 641638","['restaurant', 'food', 'point_of_interest', 'establishment']",Hai Tian Seafood,ChIJlSlr2pYP2jERORucplH8LB0,1,"[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 45, 45, 54, 54, 45, 36, 27, 18, 18, 27, 27, 36], 'name': 'Tuesday'}, {'data': [27, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 54, 18, 27, 45, 63, 72, 72, 63, 54, 36, 18], 'name': 'Wednesday'}, {'data': [9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 27, 27, 27, 18, 18, 27, 54, 72, 72, 81, 72, 36], 'name': 'Thursday'}, {'data': [9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 45, 18, 27, 36, 36, 45, 54, 72, 100, 90, 63], 'name': 'Friday'}, {'data': [36, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27, 45, 54, 36, 27, 36, 54, 81, 90, 90, 63, 45], 'name': 'Saturday'}, {'data': [18, 9, 0, 0, 0, 0, 0, 0, 9, 18, 0, 36, 45, 54, 63, 63, 63, 72, 81, 81, 81, 72, 45, 27], 'name': 'Sunday'}]","{'lat': 1.3420869, 'lng': 103.6975168}"
3.7,"McDonald 762 Jurong West Street 75, #02-250 Gek Poh, Singapore 640762","762 Jurong West Street 75, #02-250 Gek Poh, Singapore 640762","['restaurant', 'food', 'point_of_interest', 'establishment']",McDonald,ChIJe51FQbwP2jERxZ7ZzfqGzzA,31,"[{'data': [0, 0, 0, 0, 0, 0, 0, 4, 8, 17, 21, 21, 21, 17, 26, 39, 21, 34, 56, 69, 60, 39, 17, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 8, 17, 21, 17, 13, 17, 21, 26, 26, 21, 21, 26, 30, 30, 30, 21, 13, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 17, 34, 56, 73, 78, 69, 52, 34, 30, 39, 56, 73, 91, 100, 91, 73, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 8, 17, 21, 26, 34, 39, 39, 39, 34, 30, 26, 21, 30, 47, 65, 56, 30, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 4, 4, 8, 8, 13, 13, 13, 13, 13, 13, 21, 34, 47, 60, 60, 47, 30, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 4, 0, 8, 17, 21, 30, 30, 30, 30, 26, 21, 17, 13, 8, 4, 30, 39, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 4, 8, 21, 30, 26, 17, 13, 13, 26, 39, 43, 43, 43, 43, 34, 21, 0], 'name': 'Sunday'}]","{'lat': 1.34879, 'lng': 103.6976648}"
