name,rating_n,searchterm,populartimes,coordinates,address,rating,id,types
928 Yishun Laksa,157,"928 Yishun Laksa 928 Yishun Central 1, Singapore 760928","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 28, 53, 70, 69, 57, 48, 43, 40, 33, 0, 0, 0, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 28, 52, 71, 71, 56, 40, 35, 32, 25, 0, 0, 0, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 27, 55, 81, 85, 66, 47, 45, 48, 35, 0, 0, 0, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 30, 51, 68, 71, 58, 38, 32, 52, 53, 0, 0, 0, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 33, 59, 79, 80, 65, 52, 56, 57, 40, 0, 0, 0, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 43, 70, 92, 100, 92, 78, 64, 50, 34, 0, 0, 0, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'name': 'Sunday'}]","{'lat': 1.4272153, 'lng': 103.8375497}","928 Yishun Central 1, Singapore 760928",4.3,ChIJ215A4G4U2jER41dtgThHwgo,"['restaurant', 'food', 'point_of_interest', 'establishment']"
COMO Cuisine,20,"COMO Cuisine 18A Dempsey Rd, Singapore 249677","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 41, 36, 0, 0, 0, 20, 41, 50, 36, 15, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 27, 25, 0, 0, 0, 25, 46, 62, 55, 31, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 60, 48, 0, 0, 0, 31, 46, 51, 44, 27, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 44, 43, 0, 0, 0, 29, 53, 68, 63, 43, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 36, 41, 0, 0, 0, 39, 56, 74, 72, 46, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 62, 67, 58, 41, 27, 36, 67, 93, 81, 43, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 93, 100, 75, 43, 25, 31, 43, 44, 34, 17, 0], 'name': 'Sunday'}]","{'lat': 1.3059828, 'lng': 103.8105776}","18A Dempsey Rd, Singapore 249677",4.5,ChIJFWfV1iIa2jERrIljbfOjHW8,"['restaurant', 'food', 'point_of_interest', 'establishment']"
The Public Izakaya 2,16,"The Public Izakaya 2 Altez, #01-14/15/16,, 16 Enggor St, Singapore 079717","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 38, 40, 0, 0, 0, 6, 18, 30, 32, 40, 14, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 38, 40, 0, 0, 0, 10, 24, 46, 62, 58, 38, 18], 'name': 'Tuesday'}, {'data': [6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 26, 30, 0, 0, 0, 18, 34, 48, 54, 48, 32, 18], 'name': 'Wednesday'}, {'data': [8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 38, 38, 0, 0, 0, 24, 44, 66, 72, 58, 34, 16], 'name': 'Thursday'}, {'data': [6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 40, 38, 0, 0, 0, 14, 40, 74, 100, 96, 64, 30], 'name': 'Friday'}, {'data': [10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20, 36, 46, 42, 28, 14], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18, 30, 30, 18, 6, 0], 'name': 'Sunday'}]","{'lat': 1.2753422, 'lng': 103.8444743}","Altez, #01-14/15/16,, 16 Enggor St, Singapore 079717",3.8,ChIJMz-JTWsZ2jERqFZ1BAwG7OQ,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Red Star Restaurant,319,"Red Star Restaurant 54 Chin Swee Road, #07-23, Singapore 160054","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 24, 31, 25, 13, 0, 0, 0, 3, 6, 8, 7, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 13, 22, 27, 22, 13, 0, 0, 0, 2, 6, 8, 8, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 21, 28, 37, 33, 16, 0, 0, 0, 3, 7, 10, 9, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 14, 19, 28, 28, 13, 0, 0, 0, 4, 5, 5, 3, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 8, 26, 29, 27, 36, 32, 15, 0, 0, 0, 5, 11, 11, 6, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 17, 41, 57, 65, 75, 67, 37, 0, 0, 0, 19, 36, 44, 33, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 12, 29, 56, 84, 100, 93, 69, 40, 0, 0, 0, 17, 37, 34, 29, 0, 0], 'name': 'Sunday'}]","{'lat': 1.287418, 'lng': 103.8411969}","54 Chin Swee Road, #07-23, Singapore 160054",3.8,ChIJIds6rnUZ2jERPx6E0UCf6HM,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Old School Delights,59,"Old School Delights 215M Upper Thomson Road, Singapore 574349","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 26, 31, 26, 19, 20, 41, 74, 89, 70, 35, 11, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22, 43, 40, 20, 11, 22, 40, 47, 35, 16, 4, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28, 37, 23, 16, 20, 19, 8, 14, 37, 17, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 22, 22, 17, 16, 26, 37, 50, 71, 53, 14, 1, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 76, 100, 71, 34, 26, 52, 80, 83, 56, 25, 7, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 70, 71, 49, 22, 11, 25, 64, 91, 71, 29, 7, 0], 'name': 'Sunday'}]","{'lat': 1.3525313, 'lng': 103.8347364}","215M Upper Thomson Road, Singapore 574349",3.9,ChIJQ9uw9DoX2jER-xHwJxS-DCY,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
IO Italian Osteria,162,"IO Italian Osteria 4 Hillview Rise, #02-01, HillV2, Singapore 667979","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 23, 26, 20, 12, 8, 15, 31, 46, 46, 30, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 22, 26, 24, 18, 13, 17, 30, 44, 48, 38, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 36, 44, 32, 14, 7, 14, 29, 46, 50, 38, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 27, 41, 34, 16, 7, 17, 43, 66, 69, 53, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 30, 37, 29, 16, 14, 26, 48, 67, 69, 51, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 25, 38, 43, 36, 24, 19, 33, 63, 88, 86, 56, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 32, 57, 67, 53, 30, 22, 41, 79, 100, 79, 39, 0, 0], 'name': 'Sunday'}]","{'lat': 1.363367, 'lng': 103.764398}","4 Hillview Rise, #02-01, HillV2, Singapore 667979",4.4,ChIJjYlQqlMQ2jERNTV5U98WYMY,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Sakura Buffet,90,"Sakura Buffet 210 Ang Mo Kio Ave 9, Singapore 569777","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 42, 22, 0, 0, 0, 19, 40, 39, 16, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 55, 30, 0, 0, 0, 32, 61, 62, 33, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 59, 25, 0, 0, 0, 35, 63, 53, 21, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 39, 12, 0, 0, 0, 36, 73, 50, 11, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 56, 29, 0, 0, 24, 56, 78, 65, 32, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 31, 40, 27, 11, 0, 23, 67, 100, 75, 29, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 51, 72, 53, 21, 0, 24, 58, 73, 48, 16, 0, 0], 'name': 'Sunday'}]","{'lat': 1.3838183, 'lng': 103.8467087}","210 Ang Mo Kio Ave 9, Singapore 569777",3.5,ChIJ1SUURJUW2jERKiW7tlVgEEo,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Tomo Izakaya,44,"Tomo Izakaya 3A River Valley Road, 01-14, Singapore 179020","[{'data': [5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 7, 6, 7, 12, 21, 31, 38, 39, 33, 23], 'name': 'Monday'}, {'data': [12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 5, 7, 8, 13, 27, 49, 62, 55, 40, 25], 'name': 'Tuesday'}, {'data': [12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8, 8, 8, 14, 27, 43, 55, 57, 48, 32], 'name': 'Wednesday'}, {'data': [18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 14, 7, 3, 9, 22, 37, 45, 46, 43, 33], 'name': 'Thursday'}, {'data': [17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 9, 10, 10, 17, 36, 59, 78, 94, 100, 74], 'name': 'Friday'}, {'data': [34, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 9, 9, 9, 15, 31, 54, 70, 74, 73, 69], 'name': 'Saturday'}, {'data': [55, 32, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 4, 2, 0, 1, 9, 29, 43, 38, 35, 22], 'name': 'Sunday'}]","{'lat': 1.2895573, 'lng': 103.8450555}","3A River Valley Road, 01-14, Singapore 179020",3.5,ChIJbYTkI6AZ2jERE0cpbTv4eRA,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Al-Bismi Restaurant,86,"Al-Bismi Restaurant 41 Dickson Rd, Singapore 209513","[{'data': [70, 57, 45, 36, 21, 21, 22, 27, 32, 39, 44, 45, 44, 40, 36, 34, 36, 44, 55, 65, 70, 70, 63, 57], 'name': 'Monday'}, {'data': [49, 40, 32, 26, 29, 22, 19, 19, 21, 24, 29, 32, 37, 39, 39, 39, 40, 45, 55, 67, 78, 86, 90, 83], 'name': 'Tuesday'}, {'data': [73, 60, 47, 37, 29, 26, 26, 29, 36, 42, 47, 50, 50, 47, 44, 42, 40, 45, 52, 63, 73, 81, 85, 83], 'name': 'Wednesday'}, {'data': [75, 62, 49, 37, 24, 21, 21, 24, 29, 34, 37, 40, 42, 42, 40, 39, 37, 37, 44, 54, 70, 86, 98, 100], 'name': 'Thursday'}, {'data': [90, 72, 52, 36, 29, 29, 31, 37, 45, 54, 60, 63, 62, 57, 50, 44, 40, 40, 45, 55, 65, 73, 77, 73], 'name': 'Friday'}, {'data': [65, 54, 44, 34, 26, 26, 31, 39, 47, 55, 60, 62, 62, 57, 52, 45, 42, 42, 49, 60, 73, 85, 90, 86], 'name': 'Saturday'}, {'data': [75, 59, 42, 32, 31, 29, 32, 37, 44, 52, 57, 60, 62, 62, 62, 63, 68, 73, 81, 90, 95, 95, 91, 81], 'name': 'Sunday'}]","{'lat': 1.3054391, 'lng': 103.8538123}","41 Dickson Rd, Singapore 209513",4.2,ChIJPaSfVLgZ2jER7jpRyM9nms0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
McDonald's,106,"McDonald's 448 Ang Mo Kio Avenue 10, #01-1693, Singapore 560448","[{'data': [21, 8, 1, 1, 1, 1, 3, 8, 13, 20, 26, 30, 33, 33, 31, 28, 26, 26, 34, 49, 66, 76, 72, 56], 'name': 'Monday'}, {'data': [34, 14, 3, 1, 1, 1, 4, 9, 16, 22, 30, 35, 39, 42, 40, 37, 32, 30, 39, 55, 60, 59, 65, 62], 'name': 'Tuesday'}, {'data': [41, 16, 1, 1, 1, 1, 1, 4, 8, 13, 21, 34, 48, 52, 42, 29, 25, 31, 45, 63, 78, 81, 69, 49], 'name': 'Wednesday'}, {'data': [27, 11, 1, 1, 1, 1, 0, 7, 15, 24, 34, 41, 44, 44, 40, 36, 36, 43, 52, 61, 66, 68, 64, 53], 'name': 'Thursday'}, {'data': [35, 17, 4, 1, 2, 0, 3, 8, 15, 23, 31, 38, 42, 43, 40, 37, 36, 39, 50, 66, 84, 97, 99, 87], 'name': 'Friday'}, {'data': [66, 43, 22, 9, 3, 3, 8, 19, 33, 48, 61, 70, 72, 68, 60, 55, 54, 58, 67, 79, 91, 100, 100, 89], 'name': 'Saturday'}, {'data': [69, 45, 24, 9, 1, 3, 9, 20, 33, 49, 64, 75, 78, 73, 62, 53, 51, 56, 66, 77, 80, 73, 58, 39], 'name': 'Sunday'}]","{'lat': 1.367323, 'lng': 103.8563116}","448 Ang Mo Kio Avenue 10, #01-1693, Singapore 560448",4.1,ChIJn-_JSuMW2jERzi8vVHceo8o,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Subway,15,"Subway Unit #02-02, 30 Tai Seng St, BreadTalk IHQ, Singapore 534013","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11, 38, 78, 95, 67, 30, 17, 27, 33, 23, 0, 0, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 5, 31, 85, 100, 51, 15, 17, 33, 35, 17, 0, 0, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 16, 41, 67, 71, 50, 26, 21, 33, 42, 30, 0, 0, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 26, 42, 56, 61, 53, 38, 30, 38, 50, 31, 0, 0, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 18, 36, 85, 96, 48, 20, 23, 33, 36, 27, 0, 0, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 40, 53, 55, 42, 30, 33, 45, 28, 0, 0, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 45, 70, 61, 33, 20, 21, 21, 16, 0, 0, 0, 0], 'name': 'Sunday'}]","{'lat': 1.3342914, 'lng': 103.8893316}","Unit #02-02, 30 Tai Seng St, BreadTalk IHQ, Singapore 534013",4.1,ChIJL1-QE40X2jERh2hUw9YcjVs,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Imperial Treasure Super Peking Duck Restaurant,78,"Imperial Treasure Super Peking Duck Restaurant 290 Orchard Road, PARAGON, #05-42/45, Singapore 238859","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 28, 20, 0, 0, 0, 26, 46, 53, 44, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 24, 22, 8, 0, 0, 0, 33, 53, 53, 33, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31, 42, 22, 0, 0, 0, 26, 53, 68, 55, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28, 31, 13, 0, 0, 0, 37, 62, 64, 42, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22, 31, 26, 0, 0, 0, 24, 48, 68, 64, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28, 44, 40, 0, 0, 0, 55, 80, 100, 80, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 31, 48, 57, 46, 0, 0, 0, 44, 64, 66, 48, 0, 0], 'name': 'Sunday'}]","{'lat': 1.303407, 'lng': 103.835489}","290 Orchard Road, PARAGON, #05-42/45, Singapore 238859",4.3,ChIJye26KJIZ2jERQ-cRCW2All0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
McDonald's,32,"McDonald's 6 Raffles Boulevard, #02-156/#02-157/#02-166 Marine Parade Road, Singapore 039594","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 9, 14, 17, 16, 13, 8, 5, 5, 10, 15, 18, 15, 8, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 4, 9, 15, 17, 14, 8, 5, 7, 12, 17, 17, 13, 6, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 25, 19, 11, 17, 23, 24, 21, 15, 12, 14, 18, 23, 24, 20, 14, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 13, 23, 17, 13, 14, 17, 20, 20, 19, 16, 14, 19, 32, 35, 20, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 8, 11, 15, 19, 22, 23, 22, 20, 19, 21, 32, 47, 51, 38], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 12, 19, 13, 10, 14, 21, 28, 33, 36, 35, 31, 25, 20, 47, 100, 51], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 20, 32, 11, 8, 13, 18, 23, 26, 25, 22, 17, 12, 23, 53, 33, 0], 'name': 'Sunday'}]","{'lat': 1.2912412, 'lng': 103.8572563}","6 Raffles Boulevard, #02-156/#02-157/#02-166 Marine Parade Road, Singapore 039594",3.9,ChIJS2S-f58Z2jERXtv5tBq5pp4,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Skyve Wine Bistro,71,"Skyve Wine Bistro 10 Winstedt Rd, Singapore 227977","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 28, 25, 17, 12, 20, 39, 58, 61, 44, 21, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 20, 14, 7, 10, 16, 19, 26, 56, 55, 15, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 35, 26, 15, 15, 25, 38, 46, 42, 30, 16, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 23, 24, 21, 19, 21, 29, 38, 41, 34, 23, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 26, 34, 33, 26, 21, 29, 52, 82, 100, 92, 65, 35], 'name': 'Friday'}, {'data': [15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 48, 65, 71, 64, 50, 43, 50, 67, 84, 85, 70, 46, 24], 'name': 'Saturday'}, {'data': [10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 37, 57, 66, 64, 51, 35, 26, 37, 51, 46, 23, 0, 0], 'name': 'Sunday'}]","{'lat': 1.3099972, 'lng': 103.8418152}","10 Winstedt Rd, Singapore 227977",4.3,ChIJ2Uuf5swQ2jERB1sXQ48H3Vw,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Blooie's Roadhouse,29,"Blooie's Roadhouse 428 Upper Bukit Timah Rd, Singapore 678054","[{'data': [26, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 14, 14, 13, 10, 13, 23, 40, 55, 59, 47, 30], 'name': 'Monday'}, {'data': [21, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 13, 5, 5, 11, 21, 33, 44, 52, 52, 44, 34], 'name': 'Tuesday'}, {'data': [21, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 11, 14, 20, 26, 30, 39, 55, 72, 81, 72, 50], 'name': 'Wednesday'}, {'data': [28, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 27, 26, 14, 17, 30, 43, 50, 55, 63, 69, 62], 'name': 'Thursday'}, {'data': [40, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5, 10, 15, 23, 33, 42, 53, 65, 75, 79, 75], 'name': 'Friday'}, {'data': [62, 43, 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 17, 18, 13, 8, 10, 20, 42, 71, 95, 100, 82], 'name': 'Saturday'}, {'data': [53, 40, 62, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 26, 26, 21, 20, 26, 37, 52, 62, 62, 55, 40], 'name': 'Sunday'}]","{'lat': 1.3590859, 'lng': 103.7676875}","428 Upper Bukit Timah Rd, Singapore 678054",3.8,ChIJUQ6ZYlEQ2jER_uarzrtyGsA,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Blu Kouzina,289,"Blu Kouzina 10 Dempsey road, #01-21, Singapore 247700","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 17, 13, 0, 0, 0, 27, 52, 68, 61, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 16, 0, 0, 0, 38, 65, 74, 57, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 20, 17, 0, 0, 0, 36, 65, 82, 71, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 17, 17, 0, 0, 0, 36, 64, 80, 69, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 20, 20, 0, 0, 0, 29, 65, 100, 98, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 39, 36, 0, 0, 0, 32, 68, 93, 91, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 84, 66, 0, 0, 0, 30, 61, 73, 53, 0, 0], 'name': 'Sunday'}]","{'lat': 1.303301, 'lng': 103.810362}","10 Dempsey road, #01-21, Singapore 247700",4.4,ChIJrYMeu5sQ2jERfpA5zK1UM9U,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Shi Jian Hot Pot 食间火锅,12,"Shi Jian Hot Pot 食间火锅 01-1237, Block 350, Jurong East Ave 1, Singapore 600350","[{'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 10, 8, 10, 14, 16, 22, 26, 22, 12, 0, 0], 'name': 'Monday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 6, 6, 4, 8, 22, 46, 62, 54, 30, 0, 0], 'name': 'Tuesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26, 40, 40, 24, 12, 16, 36, 56, 54, 32, 0, 0], 'name': 'Wednesday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 14, 16, 12, 12, 22, 42, 52, 42, 0, 0], 'name': 'Thursday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 14, 8, 10, 26, 52, 76, 82, 62, 0, 0], 'name': 'Friday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 36, 42, 32, 16, 14, 30, 60, 86, 82, 54, 0, 0], 'name': 'Saturday'}, {'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 38, 52, 26, 8, 12, 36, 76, 100, 82, 42, 0, 0], 'name': 'Sunday'}]","{'lat': 1.344093, 'lng': 103.731233}","01-1237, Block 350, Jurong East Ave 1, Singapore 600350",4.9,ChIJbQ9Lrh8Q2jERLz9vzsL_IJ8,"['restaurant', 'food', 'point_of_interest', 'establishment']"
